epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,17247,1.25534,0.67591,0.91142,0.61999,0.47297,0.51623,0.30273,1.26245,0.6765,0.91916,0.000299993,0.000299993,0.000299993
57,17554.6,1.25477,0.67486,0.91004,0.61568,0.47662,0.51489,0.30314,1.2628,0.67661,0.91933,0.000285497,0.000285497,0.000285497
58,17862.6,1.25748,0.67462,0.91131,0.61467,0.47526,0.51562,0.3034,1.26283,0.67696,0.9194,0.000271408,0.000271408,0.000271408
59,18170.3,1.2585,0.67574,0.9108,0.61329,0.47502,0.51542,0.30285,1.263,0.67669,0.91941,0.000257748,0.000257748,0.000257748
60,18477.6,1.2518,0.67098,0.91062,0.6174,0.47468,0.51607,0.30257,1.26336,0.67659,0.91958,0.00024454,0.00024454,0.00024454
61,18785.8,1.25078,0.66864,0.90807,0.61624,0.4754,0.51602,0.30239,1.26358,0.67661,0.91979,0.000231802,0.000231802,0.000231802
62,19094.8,1.24295,0.66394,0.90652,0.61159,0.4769,0.5159,0.30245,1.26411,0.67689,0.92003,0.000219555,0.000219555,0.000219555
63,19402.8,1.24378,0.66239,0.90723,0.60861,0.47672,0.51663,0.30236,1.26455,0.6768,0.92015,0.000207817,0.000207817,0.000207817
64,19711.1,1.2419,0.66237,0.90823,0.60682,0.47636,0.51703,0.30267,1.26477,0.67687,0.92019,0.000196607,0.000196607,0.000196607
65,20018.9,1.24233,0.6601,0.90647,0.60904,0.47607,0.5165,0.30248,1.26493,0.6769,0.92028,0.000185942,0.000185942,0.000185942
66,20327.1,1.23742,0.65911,0.90586,0.60487,0.47632,0.51708,0.30232,1.26501,0.6769,0.92028,0.000175839,0.000175839,0.000175839
67,20636,1.23848,0.65793,0.90469,0.60175,0.48034,0.51664,0.30229,1.26506,0.67679,0.92034,0.000166312,0.000166312,0.000166312
68,20945,1.23663,0.655,0.90439,0.60146,0.47982,0.5168,0.30247,1.26536,0.67697,0.92039,0.000157377,0.000157377,0.000157377
69,21253.5,1.23795,0.65482,0.90411,0.605,0.47808,0.51735,0.30238,1.26565,0.67691,0.92049,0.000149047,0.000149047,0.000149047
70,21562,1.23642,0.65201,0.90387,0.59716,0.48998,0.51696,0.30243,1.26591,0.67715,0.92056,0.000141336,0.000141336,0.000141336
71,21862.1,1.21479,0.61436,0.89571,0.59905,0.48995,0.51701,0.30223,1.26605,0.67712,0.92063,0.000134254,0.000134254,0.000134254
72,22160.4,1.21,0.61033,0.8946,0.60019,0.48836,0.5168,0.30219,1.26622,0.67725,0.92079,0.000127814,0.000127814,0.000127814
73,22459.4,1.20868,0.60768,0.89426,0.60167,0.48543,0.5168,0.30222,1.26659,0.67747,0.92091,0.000122025,0.000122025,0.000122025
74,22757.6,1.20703,0.60597,0.89372,0.60215,0.48594,0.51619,0.30077,1.26673,0.67773,0.92097,0.000116895,0.000116895,0.000116895
75,23056.7,1.20558,0.60418,0.89291,0.60351,0.48467,0.51625,0.30091,1.26687,0.67798,0.92101,0.000112434,0.000112434,0.000112434
76,23354.9,1.2029,0.60321,0.89265,0.60226,0.48575,0.51619,0.30062,1.2672,0.67824,0.92111,0.000108647,0.000108647,0.000108647
77,23653,1.20177,0.60193,0.89273,0.60195,0.48639,0.51577,0.30052,1.2675,0.67817,0.92124,0.00010554,0.00010554,0.00010554
78,23951.5,1.19832,0.60022,0.89093,0.59953,0.48652,0.51543,0.30044,1.2679,0.67841,0.92135,0.000103119,0.000103119,0.000103119
